texto,categoria
A ventoinha lateral do gabinete está com desgaste,hardware
O software de design não exporta para EXR,software
O conector do fone de ouvido não isola vozes,hardware
O aplicativo de e-mail não filtra por data,software
A tela do notebook apresenta glow uniformity,hardware
O sistema de tickets não gera relatórios por tipo,software
O cabo de força está com resistência,hardware
O software de reuniões não permite gravação em HDR,software
A placa de vídeo não suporta CUDA,hardware
O aplicativo de clima não mostra índice de umidade,software
O sensor de digital não reconhece após hibernação,hardware
O sistema de backup não faz backup de arquivos criptografados,software
A ventoinha dianteira do gabinete está com ruído,hardware
O software de VPN não tem split tunneling por aplicativo,software
O conector do mouse está com desgaste,hardware
O aplicativo de calendário não sincroniza com SOGo,software
A tela do monitor apresenta color shift,hardware
O sistema de OCR não reconhece textos em fonte sans-serif,software
O cabo USB-C não transmite USB4,hardware
O software de contabilidade não calcula COFINS,software
A porta HDMI não transmite HDR10+ Adaptive,hardware
O aplicativo de e-commerce não gera CT-e,software
O sensor de proximidade não funciona com capa espessa,hardware
O sistema de backup não restaura ACLs,software
A ventoinha do water cooler está com depósitos minerais,hardware
O software de edição não aplica deflicker,software
O conector do teclado está com oxidação,hardware
O aplicativo de mensagens não envia GIFs,software
A tela do notebook apresenta backlight bleed,hardware
O sistema de CRM não gera relatórios de churn,software
O cabo DisplayPort está com perda de áudio,hardware
O software de código-fonte não tem unit testing,software
A placa de rede não negocia 25Gbps,hardware
O aplicativo de produtividade não exporta para CSV,software
O sensor de luz ambiente não ajusta temperatura de cor,hardware
O sistema de backup não compacta arquivos de log do sistema,software
A ventoinha traseira do gabinete está com desalinhamento,hardware
O software de design não renderiza volumetrics,software
O conector do headset não cancela ruído de vento,hardware
O aplicativo de finanças não calcula CRI,software
A tela do monitor apresenta IPS glow uniformity,hardware
O sistema de tickets não gera relatórios por região,software
O cabo USB está com perda de sinal,hardware
O software de reuniões não permite compartilhamento de área de trabalho,software
A placa-mãe não reconhece Optane,hardware
O aplicativo de clima não mostra índice de qualidade do ar,software
O sensor de digital não reconhece após desligamento abrupto,hardware
O sistema de backup não faz backup de arquivos temporários do sistema,software
A ventoinha da GPU está com rolamento gasto,hardware
O software de edição não exporta em ProRes RAW,software
O conector do microfone está com interferência RF,hardware
O aplicativo de mensagens não envia arquivos grandes,software
A tela do tablet não responde a toques suaves,hardware
O sistema de OCR não reconhece textos em fonte serif,software
O cabo HDMI não transmite áudio em IMAX Enhanced,hardware
O software de contabilidade não gera DCTFWeb,software
A porta Ethernet não detecta cabo de par trançado,hardware
O aplicativo de e-commerce não processsa transferência,software
O sensor de movimento não detecta aceleração angular,hardware
O sistema de backup não faz backup de arquivos de índice,software
A ventoinha do processador está com desgaste,hardware
O software de VPN não tem obfuscation avançada,software
O conector do carregador está derretido,hardware
O aplicativo de notas não reconhece geografia,software
A tela do smartphone não responde a toques precisos,hardware
O sistema de CRM não gera relatórios de lifetime value,software
O cabo de rede está com jitter,hardware
O software de edição não aplica rolling shutter compensation,software
A placa de som não reproduz áudio em MQA Studio,hardware
O aplicativo de finanças não calcula CDI over,software
O sensor de temperatura está com deriva térmica,hardware
O sistema de backup não verifica metadados estendidos,software
A ventoinha lateral do gabinete está com folga,hardware
O software de design não exporta para PNG-24,software
O conector do fone de ouvido não isola ruído de fundo,hardware
O aplicativo de e-mail não filtra por tamanho de anexo,software
A tela do notebook apresenta color bleed,hardware
O sistema de tickets não gera relatórios por canal,software
O cabo de força está com sobreaquecimento,hardware
O software de reuniões não permite gravação em 8K,software
A placa de vídeo não suporta DirectML,hardware
O aplicativo de clima não mostra índice de poluição sonora,software
O sensor de digital não reconhece após atualização de firmware,hardware
O sistema de backup não faz backup de arquivos de log de aplicativos,software
A ventoinha dianteira do gabinete está com desbalanceamento,hardware
O software de VPN não tem proteção contra WebRTC leaks,software
O conector do mouse está com resistência,hardware
O aplicativo de calendário não sincroniza com Zoho,software
A tela do monitor apresenta TN glow,hardware
O sistema de OCR não reconhece textos em fonte fantasy,software
O cabo USB-C não transmite USB PD,hardware
O software de contabilidade não calcula PIS/PASEP,software
A porta HDMI não transmite Dolby Vision 12-bit,hardware
O aplicativo de e-commerce não gera NFC-e,software
O sensor de proximidade não funciona com película anti-espionagem,hardware
O sistema de backup não restaura timestamps,software
A ventoinha do water cooler está com crescimento bacteriano,hardware
O software de edição não aplica moiré reduction,software
O conector do teclado está com resíduos,hardware
O aplicativo de mensagens não envia arquivos PDF,software
A tela do notebook apresenta motion blur,hardware
O sistema de CRM não gera relatórios de custo de aquisição,software
O cabo DisplayPort está com perda de largura de banda,hardware
O software de código-fonte não tem integration testing,software
A placa de rede não negocia 40Gbps,hardware
O aplicativo de produtividade não exporta para JSON,software
O sensor de luz ambiente não ajusta brilho uniformemente,hardware
O sistema de backup não compacta arquivos de cache,software
A ventoinha traseira do gabinete está com desgaste,hardware
O software de design não renderiza subsurface scattering,software
O conector do headset não cancela ruído de multidão,hardware
O aplicativo de finanças não calcula Selic,software
A tela do monitor apresenta bleed uniformity,hardware
O sistema de tickets não gera relatórios por produto,software
O cabo USB está com perda de energia,hardware
O software de reuniões não permite compartilhamento de vídeo em HD,software
A placa-mãe não reconhece dispositivos Thunderbolt,hardware
O aplicativo de clima não mostra índice de qualidade da água,software
O sensor de digital não reconhece após troca de tela,hardware
O sistema de backup não faz backup de arquivos de histórico,software
A ventoinha da GPU está com rolamento danificado,hardware
O software de edição não exporta em REDCODE,software
O conector do microfone está com ruído de fundo,hardware
O aplicativo de mensagens não envia arquivos ZIP,software
A tela do tablet não responde a toques leves,hardware
O sistema de OCR não reconhece textos em fonte decorative,software
O cabo HDMI não transmite áudio em MPEG-H,hardware
O software de contabilidade não gera DARF Simples,software
A porta Ethernet não detecta cabo de cobre,hardware
O aplicativo de e-commerce não processsa cartão virtual,software
O sensor de movimento não detecta orientação,hardware
O sistema de backup não faz backup de arquivos de configuração do usuário,software
A ventoinha do processador está com desgaste,hardware
O software de VPN não tem proteção contra DNS leaks,software
O conector do carregador está carbonizado,hardware
O aplicativo de notas não reconhece história,software
A tela do smartphone não responde a toques leves,hardware
O sistema de CRM não gera relatórios de ROI,software
O cabo de rede está com perda de pacotes,hardware
O software de edição não aplica rolling shutter repair,software
A placa de som não reproduz áudio em DSD512,hardware
O aplicativo de finanças não calcula IPCA,software
O sensor de temperatura está com erro sistemático,hardware
O sistema de backup não verifica assinaturas digitais,software
A ventoinha lateral do gabinete está com desalinhamento,hardware
O software de design não exporta para WebP,software
O conector do fone de ouvido não isola ruído branco,hardware
O aplicativo de e-mail não filtra por prioridade,software
A tela do notebook apresenta color shift,hardware
O sistema de tickets não gera relatórios por serviço,software
O cabo de força está com sobrecarga,hardware
O software de reuniões não permite gravação em 360°,software
A placa de vídeo não suporta OpenGL,hardware
O aplicativo de clima não mostra índice de qualidade do solo,software
O sensor de digital não reconhece após reinicialização,hardware
O sistema de backup não faz backup de arquivos de log de segurança,software
A ventoinha dianteira do gabinete está com desgaste,hardware
O software de VPN não tem proteção contra IPv6 leaks,software
O conector do mouse está com oxidação,hardware
O aplicativo de calendário não sincroniza com Tutanota,software
A tela do monitor apresenta VA glow,hardware
O sistema de OCR não reconhece textos em fonte monospaced,software
O cabo USB-C não transmite altas velocidades,hardware
O software de contabilidade não calcula CSLL,software
A porta HDMI não transmite HDR10+ Gaming,hardware
O aplicativo de e-commerce não gera MDF-e,software
O sensor de proximidade não funciona com película anti-reflexo,hardware
O sistema de backup não restaura propriedades estendidas,software
A ventoinha do water cooler está com corrosão,hardware
O software de edição não aplica temporal noise reduction,software
O conector do teclado está com sujeira,hardware
O aplicativo de mensagens não envia arquivos RAR,software
A tela do notebook apresenta ghosting,hardware
O sistema de CRM não gera relatórios de custo de retenção,software
O cabo DisplayPort está com perda de sinal,hardware
O software de código-fonte não tem coverage testing,software
A placa de rede não negocia 100Gbps,hardware
O aplicativo de produtividade não exporta para XML,software
O sensor de luz ambiente não ajusta contraste,hardware
O sistema de backup não compacta arquivos de log de eventos,software
A ventoinha traseira do gabinete está com desgaste,hardware
O software de design não renderiza global illumination,software
O conector do headset não cancela ruído de tráfego,hardware
O aplicativo de finanças não calcula IGPM,software
A tela do monitor apresenta glow,hardware
O sistema de tickets não gera relatórios por agente,software
O cabo USB está com interferência,hardware
O software de reuniões não permite compartilhamento de vídeo em 4K,software
A placa-mãe não reconhece dispositivos NVMe,hardware
O aplicativo de clima não mostra índice de qualidade do ar interior,software
O sensor de digital não reconhece após atualização de BIOS,hardware
O sistema de backup não faz backup de arquivos de log de aplicativos,software
A ventoinha da GPU está com rolamento gasto,hardware
O software de edição não exporta em ARRIRAW,software
O conector do microfone está com interferência,hardware
O aplicativo de mensagens não envia arquivos 7z,software
A tela do tablet não responde a toques firmes,hardware
O sistema de OCR não reconhece textos em fonte blackletter,software
O cabo HDMI não transmite áudio em DTS:X,hardware
O software de contabilidade não gera DARJ,software
A porta Ethernet não detecta cabo de rede,hardware
O aplicativo de e-commerce não processsa cartão de débito,software
O sensor de movimento não detecta posição absoluta,hardware
O sistema de backup não faz backup de arquivos de configuração do sistema,software
A ventoinha do processador está com desbalanceamento,hardware
O software de VPN não tem proteção contra fingerprinting,software
O conector do carregador está derretendo,hardware
O aplicativo de notas não reconhece literatura,software
A tela do smartphone não responde a toques leves,hardware
O sistema de CRM não gera relatórios de valor vitalício,software
O cabo de rede está com latência,hardware
O software de edição não aplica rolling shutter correction,software
A placa de som não reproduz áudio em Dolby Atmos,hardware
O aplicativo de finanças não calcula TJLP,software
O sensor de temperatura está com erro aleatório,hardware
O sistema de backup não verifica checksums,software
A ventoinha lateral do gabinete está com desgaste,hardware
O software de design não exporta para JPEG-XR,software
O conector do fone de ouvido não isola ruído de máquinas,hardware
O aplicativo de e-mail não filtra por remetente,software
A tela do notebook apresenta backlight bleed,hardware
O sistema de tickets não gera relatórios por satisfação,software
O cabo de força está com resistência,hardware
O software de reuniões não permite gravação em 3D,software
A placa de vídeo não suporta Mantle,hardware
O aplicativo de clima não mostra índice de qualidade da água potável,software
O sensor de digital não reconhece após troca de tela,hardware
O sistema de backup não faz backup de arquivos de log de desempenho,software
A ventoinha dianteira do gabinete está com desalinhamento,hardware
O software de VPN não tem proteção contra time attacks,software
O conector do mouse está com desgaste,hardware
O aplicativo de calendário não sincroniza com ProtonMail,software
A tela do monitor apresenta IPS glow,hardware
O sistema de OCR não reconhece textos em fonte old-style,software
O cabo USB-C não transmite altas taxas de transferência,hardware
O software de contabilidade não calcula IRRF,software
A porta HDMI não transmite HDR10+ Dynamic,hardware
O aplicativo de e-commerce não gera CT-e OS,software
O sensor de proximidade não funciona com película privativa,hardware
O sistema de backup não restaura atributos estendidos,software
A ventoinha do water cooler está com depósitos,hardware
O software de edição não aplica spatial noise reduction,software
O conector do teclado está com oxidação,hardware
O aplicativo de mensagens não envia arquivos TAR,software
A tela do notebook apresenta motion blur,hardware
O sistema de CRM não gera relatórios de custo por lead,software
O cabo DisplayPort está com perda de frames,hardware
O software de código-fonte não tem mutation testing,software
A placa de rede não negocia 400Gbps,hardware
O aplicativo de produtividade não exporta para YAML,software
O sensor de luz ambiente não ajusta brilho,hardware
O sistema de backup não compacta arquivos de log de auditoria,software
A ventoinha traseira do gabinete está com desalinhamento,hardware
texto,categoria
O computador não quer ligar de jeito nenhum,hardware
A tela do celular ficou toda colorida do nada,hardware
O notebook desliga sozinho quando tiro da tomada,hardware
O mouse sem fio não pega mais a pilha nova,hardware
O teclado do PC tá grudando as teclas,hardware
A impressora só cospe papel em branco,hardware
Meu fone novo faz chiado quando mexo,hardware
O monitor mostra umas listras verdes,hardware
O carregador esquenta demais e queima o plug,hardware
Dá um cheiro de queimado quando ligo o PC,hardware
As fotos da câmera saem todas tremidas,hardware
O tablet não segura carga e descarrega rápido,hardware
O botão de volume do celular não aperta mais,hardware
O som do PC some quando bato na mesa,hardware
O cabo USB entortou e não encaixa mais,hardware
Meu celular ficou preto e não volta,software
O Instagram não deixa eu postar fotos,software
Perdi todos os contatos do celular do nada,software
O Facebook fica carregando eternamente,software
O PC tá demorando uma hora pra abrir coisas,software
A impressora diz que tá sem papel mas tá cheio,software
Minhas planilhas sumiram depois da atualização,software
Apareceu um cadeado na tela e não sei a senha,software
Meu email tá mandando mensagens sozinho,software
Os vídeos travam no meio mesmo com wifi bom,software
Apaguei arquivos importantes sem querer,software
O Word tá misturando todas as letras,software
O app do banco diz que meu celular tá rootado,software
O Chrome abre um monte de sites estranhos,software
Toda hora aparece pop-up de vírus no PC,software
A luz do PC acende mas não aparece nada,hardware
O celular não carrega direito para no meio,hardware
O notebook faz barulho de vento forte,hardware
O mouse fica pulando pela tela sozinho,hardware
O teclado não digita os números direito,hardware
A impressora mancha tudo de tinta preta,hardware
O fone de ouvido dá choque na orelha,hardware
O monitor treme quando passa caminhão na rua,hardware
O PC reinicia do nada quando jogo,hardware
O celular desliga sozinho quando tá em chamada,hardware
A câmera frontal não funciona no WhatsApp,hardware
O tablet não vira a tela quando deito ele,hardware
O botão home do celular não funciona mais,hardware
O PC não acha a rede wifi de casa,hardware
O cabo HDMI não passa imagem pra TV nova,hardware
Meu whatsapp ficou verde e não sei consertar,software
O youtube fica escurecendo os vídeos sozinho,software
O windows não deixa eu salvar meus documentos,software
O excel transformou tudo em símbolos estranhos,software
O PC fala que tá sem espaço mas tá vazio,software
O app de fotos embaralhou todos meus álbuns,software
O celular não deixa eu desinstalar apps,software
O word travou e perdi meu trabalho todo,software
O PC abriu uma tela azul com letras brancas,software
O chrome não lembra mais minhas senhas,software
O wifi some do celular toda hora,software
O computador faz bip alto quando liga,hardware
A tela do celular fica piscando quando toca,hardware
Meu notebook queima a perna de tão quente,hardware
O mouse fica travando no meio do jogo,hardware
O teclado solta fumaça quando digito rápido,hardware
A impressora só imprime meio torto,hardware
O fone de ouvido dá eco nas chamadas,hardware
O monitor faz barulho de estática,hardware
O PC desliga sozinho quando abro muitos programas,hardware
O celular não vibra mais quando toca,hardware
Meus emails somem da caixa de entrada,software
O Facebook não mostra minhas notificações,software
O PC abre programas sozinho no meio da noite,software
O Word transformou meu texto em códigos,software
O Excel não soma os números direito,software
O Windows não deixa eu apagar arquivos,software
O celular não atualiza mais os aplicativos,software
O Chrome fecha todas as abas do nada,software
Meus documentos salvam com nomes errados,software
O wifi desconecta quando entra no Instagram,software
